,Title,Published_date,Views,Likes,Comments,month
218,The Data Science Interview: What to Expect,2019-12-30 14:00:01+00:00,8359,374,32,12
219,5 Data Science Resolutions for 2020,2019-12-27 14:00:07+00:00,474,25,12,12
220,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23 12:59:47+00:00,16186,569,92,12
221,Collision Course: Sports Betting + Data Science,2019-12-20 14:00:02+00:00,16598,479,27,12
222,3 Reasons You Should NOT Become a Data Scientist,2019-12-16 18:46:58+00:00,100683,2939,204,12
223,5 Sports Analytics Books to Get You Started,2019-12-13 14:00:01+00:00,10404,394,57,12
224,Math Needed for Mastering Data Science,2019-12-09 14:00:15+00:00,55739,2845,222,12
225,The 5 Stages of Data Science Adoption,2019-12-06 14:00:04+00:00,1307,68,17,12
226,How YOU Can Land a Sports Analytics Job,2019-12-02 14:00:05+00:00,67151,2997,230,12
227,Data Science Fundamentals: Linear Regression,2019-11-29 14:00:02+00:00,6238,171,42,11
228,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25 14:00:11+00:00,1021,50,12,11
229,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22 14:00:06+00:00,5840,265,26,11
230,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18 15:34:12+00:00,45803,1748,80,11
231,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11 21:12:11+00:00,5895,136,31,11
232,Why Selling Is An Important Data Science Skill,2019-11-04 14:57:00+00:00,1603,79,13,11
233,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21 16:38:58+00:00,2770,73,18,10
234,Why is Balance Important in Data Science?,2019-10-16 17:40:34+00:00,695,32,13,10
235,How to Stay Productive & Motivated When Learning Data Science,2019-09-29 00:29:59+00:00,11728,578,54,9
236,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21 23:04:57+00:00,3702,113,31,9
237,6 Habits of Successful Data Scientists,2019-09-13 04:40:51+00:00,2185,94,17,9
238,How To Build A Word Cloud From Scraped Data (Python),2019-09-04 01:32:06+00:00,4319,97,9,9
239,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26 12:42:32+00:00,518,24,29,8
240,Is Data Science Right For You?,2019-08-18 16:54:05+00:00,50026,1165,109,8
241,Data Science Fundamentals: Data Cleaning in Python,2019-08-11 20:50:23+00:00,14538,387,55,8
242,How To Get Data Science Experience (Without a Job),2019-08-08 01:58:40+00:00,29012,1378,75,8
243,Take Your Data Science Projects From Good to Great,2019-08-05 02:34:28+00:00,1587,107,11,8
244,The Projects You Should Do To Get A Data Science Job,2019-07-30 03:35:48+00:00,148370,5669,253,7
245,What Does a Data Scientist Actually Do?,2019-07-19 03:18:04+00:00,44694,1238,84,7
246,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13 21:09:41+00:00,12718,349,42,7
247,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05 14:29:49+00:00,17503,521,61,7
248,Data Science: Pros and Cons,2019-06-30 15:26:49+00:00,5135,213,18,6
249,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21 04:33:34+00:00,24151,1170,89,6
250,My Top 5 Data Science Internship Tips,2019-06-15 15:28:26+00:00,11713,487,23,6
251,Golf STATS: Strokes Gained Explained,2019-06-07 03:10:34+00:00,7092,147,28,6
252,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25 18:34:33+00:00,612,44,5,5
253,What I Learned From My Three Degrees,2019-05-17 03:10:29+00:00,1242,60,12,5
254,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14 00:21:28+00:00,25587,1069,68,5
